,phrase,label,sentiment,subjectivity,language,count
Alpen,,,,,,
Österreich,,,,,,
Südtirol,,,,,,
Tirol,,,,,,
Kalifornien,,,,,,
Lawine,,,,,,
Bayern,,,,,,
Frankreich,,,,,,
Bergen,,,,,,
Lawinenabgang,,,,,,
Lawinenunglück,,,,,,
Lawinen,,,,,,
Norditalien,,,,,,
Schweiz,,,,,,
Lawinenabgängen,,,,,,
Vorarlberg,,,,,,
Deutschland,,,,,,
Italien,,,,,,
Salzburg,,,,,,
…,,,,,,
Tiroler,,,,,,
Castle Peak,,,,,,
Stubaier,,,,,,
Aostatal,,,,,,
Europa,,,,,,
Ortlergebirge,,,,,,
Bozen,,,,,,
Schneemassen,,,,,,
Steiermark,,,,,,
Himalaya,,,,,,
bayerischen Alpen,,,,,,
Nepal,,,,,,
Tiroler Bergen,,,,,,
französischen Alpen,,,,,,
Baden-Württemberg,,,,,,
Lawinengefahr,,,,,,
USA,,,,,,
Berlin,,,,,,
München,,,,,,
St. Anton am Arlberg,,,,,,
Japan,,,,,,
Waldgrenze,,,,,,
Himalaya-Gebirge,,,,,,
Landes,,,,,,
italienischen Alpen,,,,,,
US-Bundesstaat Kalifornien,,,,,,
Kanton Wallis,,,,,,
Schwarzwald,,,,,,
Wallis,,,,,,
Ischgl,,,,,,
Cebu City,,,,,,
Serfaus,,,,,,
Lötschental,,,,,,
Pyrenäen,,,,,,
Stubaier Alpen,,,,,,
Allgäuer Alpen,,,,,,
Valloire,,,,,,
Fiss,,,,,,
Kitzbühel,,,,,,
Österreichs,,,,,,
Stubaier Gletscher,,,,,,
Tirols,,,,,,
Hamburg,,,,,,
Lawinen-Drama,,,,,,
Kamtschatka,,,,,,
Lawinenkatastrophe,,,,,,
Berchtesgadener Alpen,,,,,,
Allgäu,,,,,,
Dortmund,,,,,,
St. Anton,,,,,,
Savoyen,,,,,,
Lawinenwarndienste,,,,,,
Sulden,,,,,,
Ortler-Gebirge,,,,,,
Unfälle,,,,,,
Sierra Nevada,,,,,,
Pongau,,,,,,
Feldberg,,,,,,
Unglücke,,,,,,
Tuxer Alpen,,,,,,
Südtiroler,,,,,,
Bezirk Landeck,,,,,,
Pinzgau,,,,,,
Schweizer Alpen,,,,,,
den USA,,,,,,
Ri,,,,,,
Brandenburg,,,,,,
Stuttgart,,,,,,
Slowakei,,,,,,
Wien,,,,,,
Österreicher,,,,,,
See,,,,,,
Philippinen,,,,,,
Lech-Zürs,,,,,,
Deutschlands,,,,,,
Italiener,,,,,,
Salzburgs Bergen,,,,,,
Salzburger Pongau,,,,,,
Lawinenwarndienst Bayern,,,,,,
der Schweiz,,,,,,
Schneedecke,,,,,,
Goch,,,,,,
Freistaat,,,,,,
Mount Everest,,,,,,
Stubaital,,,,,,
Hawaii,,,,,,
Sturmwarnungen,,,,,,
Ostküste,,,,,,
Rettungseinsatz,,,,,,
Leitstelle Tirol,,,,,,
Hohen Ferse,,,,,,
Kanada,,,,,,
kalifornischen Bergen,,,,,,
Tiefschnee,,,,,,
Müll-Lawine,,,,,,
Sportgastein,,,,,,
Wölzer Tauern,,,,,,
Snowboarder,,,,,,
Kanton…,,,,,,
Andorra,,,,,,
Großeinsatz,,,,,,
Oberbayern,,,,,,
Murtal,,,,,,
Sölden,,,,,,
Russland,,,,,,
Italienische Alpen,,,,,,
Donnerstagnachmittag,,,,,,
Zentralgriechenland,,,,,,
Griechenland,,,,,,
Innsbruck,,,,,,
Lungau,,,,,,
Lawinenniedergängen,,,,,,
Schneemobil-Fahrer,,,,,,
Italiens,,,,,,
Neuschnee,,,,,,
Watzmann-Hocheck,,,,,,
Arlberg,,,,,,
Schladminger Tauern,,,,,,
Unterfranken,,,,,,
Bayerns,,,,,,
Schneelast,,,,,,
Zillertal,,,,,,
Trentino,,,,,,
Himalaja,,,,,,
Berchtesgadener Land,,,,,,
Pusterwald,,,,,,
Russlands,,,,,,
Hitze,,,,,,
Piemont,,,,,,
Valle Maira,,,,,,
Tschechien,,,,,,
Kitzbüheler,,,,,,
Lake Tahoe,,,,,,
Großarltal,,,,,,
Kühtai,,,,,,
Klösterle,,,,,,
Savoie,,,,,,
Verkehrsbehinderungen,,,,,,
Nordrhein-Westfalen,,,,,,
Lawinenabgängen in Tirol,,,,,,
Neugier,,,,,,
Norditaliens,,,,,,
Lebensgefahr,,,,,,
Nepals,,,,,,
Türkei,,,,,,
Lawinenalarm,,,,,,
Neukölln,,,,,,
Risiko,,,,,,
Bezirk Liezen,,,,,,
Hohe Lawinengefahr,,,,,,
Splügenpasses,,,,,,
Schneemassen donnerten,,,,,,
Lago Nero,,,,,,
Goppenstein,,,,,,
Daunscharte,,,,,,
La Plagne,,,,,,
Brite,,,,,,
Neustift im Stubaital,,,,,,
Franken,,,,,,
Skifahrern,,,,,,
Allgäuer Bergen,,,,,,
Lech,,,,,,
Nagano,,,,,,
Bern,,,,,,
Notfälle,,,,,,
Aushängeschilder,,,,,,
Salzburger,,,,,,
Hochgebirge,,,,,,
Notstand,,,,,,
US-Bundesstaaten,,,,,,
Regen,,,,,,
Iran,,,,,,
Europas,,,,,,
Glatteis,,,,,,
Walliser,,,,,,
Großen Schmiedinger,,,,,,
bergen,,,,,,
Probanden,,,,,,
Bobojach,,,,,,
Rolwalingtal,,,,,,
Schwaben,,,,,,
Lawinenabg…,,,,,,
Bezirk Schwaz,,,,,,
Ungarn,,,,,,
Bergstraße,,,,,,
Hinterstoder,,,,,,
Waggons,,,,,,
Erde,,,,,,
Japans,,,,,,
Kärntens,,,,,,
Oberkärnten,,,,,,
Abfallberg,,,,,,
Berchtesgaden,,,,,,
Sonntagfrüh,,,,,,
Shishapangma,,,,,,
Wintersportfans,,,,,,
Damüls,,,,,,
Lawinenwarnstufe,,,,,,
Snowboard-Pionier,,,,,,
L198,,,,,,
Staus,,,,,,
Schwyz,,,,,,
Franz-Senn-Hütte,,,,,,
Obersteiermark,,,,,,
S…,,,,,,
Drohnenbildern,,,,,,
Courmayeur,,,,,,
Osttirol,,,,,,
Lawinenkegel,,,,,,
Meteorologen,,,,,,
Mecklenburg-Vorpommern,,,,,,
Spanien,,,,,,
Weerberg,,,,,,
Norderney,,,,,,
Spiekeroog,,,,,,
AFP am Sonntag,,,,,,
Val d'Isère,,,,,,
Reutte,,,,,,
Vorarlbergs,,,,,,
Engelberg,,,,,,
Schneefällen,,,,,,
Präsenzunterricht,,,,,,
Tibet,,,,,,
Filzmooshörndl,,,,,,
Salzburgs,,,,,,
Obertauern,,,,,,
Lawinengang,,,,,,
Pongau/Lungau,,,,,,
Zederhaus,,,,,,
Bamberg,,,,,,
Sohn,,,,,,
Elbrus,,,,,,
Nevada County,,,,,,
Nauders,,,,,,
Flugausfälle,,,,,,
Syriens,,,,,,
Moskau,,,,,,
Münchner Flughafen,,,,,,
Davos,,,,,,
Grönland,,,,,,
Gastein,,,,,,
Versorgungsengpässen,,,,,,
europäischen Lawinenwarndienste,,,,,,
Großarl,,,,,,
Lackenhof,,,,,,
Niederösterreich,,,,,,
Kirchberg,,,,,,
Andermatt,,,,,,
Salzburger Land,,,,,,
Bezirk Kitzbühel,,,,,,
Gailtaler Alpen,,,,,,
Innsbrucker,,,,,,
Sonnenkopf,,,,,,
Rendl-Bahn,,,,,,
Linz,,,,,,
Finsterkopf im Großarltal,,,,,,
Skiwandern,,,,,,
Todesopfern,,,,,,
Kanton Graubünden,,,,,,
Klostertal,,,,,,
Sonntagnachmittag,,,,,,
bayerischen Bergen,,,,,,
Kapuzinerberg,,,,,,
Skitour,,,,,,
Ortler-Alpen,,,,,,
Bergen von Colorado,,,,,,
Hohen Marchkopf,,,,,,
Karabiner,,,,,,
Sturmböen,,,,,,
Smartphone,,,,,,
Fokida,,,,,,
Vardousia-Bergen,,,,,,
kanadischen Bergen,,,,,,
Landkreis Göppingen,,,,,,
Niederösterreich-Wien,,,,,,
"Ringe""-Dreh",,,,,,
Rettungskräfte,,,,,,
Snow Institute,,,,,,
Zweier-Gruppe,,,,,,
Gesamtzahl,,,,,,
Rettungsdienste,,,,,,
Watzmann-Gebiet,,,,,,
Japans Alpen,,,,,,
Haute-Savoie,,,,,,
Stuben,,,,,,
Süddeutschland,,,,,,
Toyama,,,,,,
Omachi,,,,,,
Watzmanngrube,,,,,,
Maira-Tal,,,,,,
Rom,,,,,,
Japanischen Alpen,,,,,,
“,,,,,,
Tateyama-Kurobe-Alpenroute,,,,,,
Vorarlberger,,,,,,
Dolomiten,,,,,,
Marmolata,,,,,,
Land,,,,,,
Sa…,,,,,,
Ballast,,,,,,
Reißleine,,,,,,
Stadt,,,,,,
Nürnberg,,,,,,
Schnee,,,,,,
b…,,,,,,
Wind,,,,,,
Trainingsplätze,,,,,,
China,,,,,,
Hoffenheim,,,,,,
Liga-Restart,,,,,,
Hamburgs,,,,,,
Verbier,,,,,,
Hessen,,,,,,
Hessens,,,,,,
Willingen,,,,,,
Wochenmitte,,,,,,
Wasserkuppe,,,,,,
Schneeverwehungen,,,,,,
Schneefälle,,,,,,
Tragisches Lawinenunglück,,,,,,
Hochfügen,,,,,,
Navis …,,,,,,
Alpenraum,,,,,,
Ortes,,,,,,
Tod am Berg,,,,,,
Sellrain,,,,,,
Zell am See,,,,,,
Passeiertal,,,,,,
Semesterferien,,,,,,
Tahoe-Nationalwald,,,,,,
picture alliance/dpa/Nevada County Sheriff's,,,,,,
Le Villard,,,,,,
Schneeschuhen,,,,,,
Bewohner,,,,,,
Navistal,,,,,,
Galtür,,,,,,
Österreichische Alpen,,,,,,
Dienten,,,,,,
Tiroler Alpen,,,,,,
Saalbach,,,,,,
Zams,,,,,,
Jamtalgebiet,,,,,,
Jamtalhütte,,,,,,
La…,,,,,,
Unfallstelle,,,,,,
St. Sigmund,,,,,,
Totenfeld,,,,,,
Schnee-Chaos,,,,,,
Südtirol …,,,,,,
Bezirks Nevada,,,,,,
Pengelstein,,,,,,
Ratschin…,,,,,,
Traunstein,,,,,,
Höllengebirge,,,,,,
Zero-Day-Exploits,,,,,,
Egg/Schetteregg,,,,,,
Sengsengebirge,,,,,,
Zermatt,,,,,,
Rudererspitze,,,,,,
Gipfels Winterstaude,,,,,,
Glaciers,,,,,,
Kasberggebiet,,,,,,
Gosaukamm,,,,,,
Dachstein,,,,,,
Tote Gebirge,,,,,,
AI Slop,,,,,,
Gewinges Alm,,,,,,
Lawinenwarndienst Oberösterreich,,,,,,
Brescia,,,,,,
Splügenpass,,,,,,
Ridnaun,,,,,,
Intensivstation,,,,,,
See“,,,,,,
Bozner,,,,,,
Litzi,,,,,,
Donnerstagfrüh,,,,,,
Oberösterreich,,,,,,
Wintersportsaison,,,,,,
Alarmbereitschaft,,,,,,
l…,,,,,,
Bezirk Innsbruck-Land,,,,,,
Notarzt,,,,,,
Mittwochfrüh,,,,,,
Nordtirol,,,,,,
Wintersport-Drama,,,,,,
Zille…,,,,,,
New Yorks,,,,,,
d…,,,,,,
Mittwochabend,,,,,,
Pforzheimer Hütte,,,,,,
Marchkopf,,,,,,
Ratschings,,,,,,
Forsythien,,,,,,
Ortsteile,,,,,,
Klimawandel,,,,,,
Wintersport-Gebiet,,,,,,
Bezirk Bregenz,,,,,,
Gap,,,,,,
La Grave,,,,,,
Magnolien,,,,,,
Lawinen-Alarm,,,,,,
Davos/Wien,,,,,,
Schwarzwald“,,,,,,
lsw,,,,,,
Lawinenwarndienst Tirol,,,,,,
Fisser,,,,,,
Gipfel-Ausflug,,,,,,
Metern Seehöhe,,,,,,
Großen Priel,,,,,,
St. Johann-Alpendorf,,,,,,
Morgenstunden,,,,,,
Oberkrain,,,,,,
Bezirk Kirchdorf,,,,,,
Bäume,,,,,,
Sträucher,,,,,,
nan,,,,,,
Zelenci-See,,,,,,
Brotfall,,,,,,
Straße nach Lech-Zürs,,,,,,
Großen Priels,,,,,,
Sterzing,,,,,,
Ratee,,,,,,
LR Mair,,,,,,
Sondierungsarbeiten,,,,,,
Trittkopfseite,,,,,,
Geldtasche,,,,,,
Außerfern,,,,,,
Zillertaler Alpen,,,,,,
Komperdellbahn,,,,,,
Berg-Drama,,,,,,
Klinik Innsbruck,,,,,,
Freerider,,,,,,
Polizeikre…,,,,,,
Lassacher Kees,,,,,,
Polizeikreisen,,,,,,
Schmittenhöhe,,,,,,
Land Tirol,,,,,,
Lawineneinsatz,,,,,,
Rauris,,,,,,
Lungau s…,,,,,,
Hohen Tauern,,,,,,
Grossen Mythen,,,,,,
West,,,,,,
Chiemgauer,,,,,,
See in Paznaun,,,,,,
Tux,,,,,,
TTS-Player,,,,,,
Slowenien,,,,,,
Österreichs Berge,,,,,,
Lawinenwissen,,,,,,
Lawinenwarndienst Salzburg,,,,,,
Lauterbrunnen,,,,,,
Lawinensprengungen am Sonntag,,,,,,
Schweizer Bergen,,,,,,
Lawinen-Toter,,,,,,
Zürs,,,,,,
US-Städte,,,,,,
Bergungsarbeiten,,,,,,
Ankogl,,,,,,
Polen,,,,,,
Schwarzwald am Wochenende,,,,,,
Bayerns Bergen,,,,,,
Windschartenkopf,,,,,,
Hagengebirges,,,,,,
Königssee,,,,,,
Schönau am Königssee,,,,,,
Rettung von Menschenleben,,,,,,
Tal hinab rauscht,,,,,,
Milde Temperaturen und Sonnenschein,,,,,,
Lawinenwarndienst Vorarlberg,,,,,,
