keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Erwärmung',-0.3155851852347229,0.9546704412803471,0.8201166794001898,1.758470494677601,11.0
'Lawine',-0.11154451231195987,0.9055526647381592,-0.09829814720397456,0.8127393030497366,83.0
'Lawinenopfer',-0.5725916676918942,0.16004266735963044,-0.53275903122259,0.253435047431738,2.0
'Lawinenverbauung',-0.11497075129582865,0.8374068042412149,,1.0,2.0
'Neuschnee',0.09340529719222973,0.815145490979065,-0.056903414080115455,0.8106449711823847,23.0
'Rettungseinsatz Lawine',0.6941673164693176,0.19223557624525908,1.0914103126634984,1.0,2.0
'Risikomanagement Lawinen',-0.7461915576226001,1.0,,1.0,1.0
'Schneefallgrenze',0.2033119922432102,1.0,-0.7119646718519063,1.0,1.0
'Schneemassen',0.10328850899533117,0.7074555194911551,-0.050155035821886074,0.542545339778084,16.0
'Skifahrer Lawine',0.879596415859916,1.2029187876881264,-0.3929969324450286,0.09489966927731115,6.0
'Sonneneinstrahlung Schnee',0.24877263567576222,1.8291026865069584,-0.1989051242735008,0.31659343857356864,6.0
'Suchaktion Lawine',1.1646280500806052,0.20257847930517714,0.8838182133334007,1.0,2.0
'Temperaturanstieg',0.14596113606022318,1.0,3.008073580592754,1.0,1.0
'Verschüttete Lawine',-0.032356064963755204,0.4348617658034675,,1.0,3.0
